track_id,album,track_title,is_bonus_track,is_cover,is_instrumental,verified,notes
valley-of-the-damned-1-01,Valley of the Damned,Invocation of Apocalyptic Evil,no,no,yes,y,
valley-of-the-damned-1-02,Valley of the Damned,Valley of the Damned,no,no,no,y,
valley-of-the-damned-1-03,Valley of the Damned,Black Fire,no,no,no,y,
valley-of-the-damned-1-04,Valley of the Damned,Black Winter Night,no,no,no,y,
valley-of-the-damned-1-05,Valley of the Damned,Starfire,no,no,no,y,
valley-of-the-damned-1-06,Valley of the Damned,Disciples of Babylon,no,no,no,y,
valley-of-the-damned-1-07,Valley of the Damned,Revelations,no,no,no,y,
valley-of-the-damned-1-08,Valley of the Damned,Evening Star,no,no,no,y,
valley-of-the-damned-1-09,Valley of the Damned,Heart of a Dragon,no,no,no,y,
sonic-firestorm-1-01,Sonic Firestorm,My Spirit Will Go On,no,no,no,y,
sonic-firestorm-1-02,Sonic Firestorm,Fury of the Storm,no,no,no,y,
sonic-firestorm-1-03,Sonic Firestorm,Fields of Despair,no,no,no,y,
sonic-firestorm-1-04,Sonic Firestorm,Dawn Over a New World,no,no,no,y,
sonic-firestorm-1-05,Sonic Firestorm,Above the Winter Moonlight,no,no,no,y,
sonic-firestorm-1-06,Sonic Firestorm,Soldiers of the Wastelands,no,no,no,y,
sonic-firestorm-1-07,Sonic Firestorm,Prepare for War,no,no,no,y,
sonic-firestorm-1-08,Sonic Firestorm,Once in a Lifetime,no,no,no,y,
sonic-firestorm-1-09,Sonic Firestorm,Cry of the Brave,yes,no,no,y,
inhuman-rampage-1-01,Inhuman Rampage,Through the Fire and Flames,no,no,no,y,
inhuman-rampage-1-02,Inhuman Rampage,Revolution Deathsquad,no,no,no,y,
inhuman-rampage-1-03,Inhuman Rampage,Storming the Burning Fields,no,no,no,y,
inhuman-rampage-1-04,Inhuman Rampage,Operation Ground and Pound,no,no,no,y,
inhuman-rampage-1-05,Inhuman Rampage,Body Breakdown,no,no,no,y,
inhuman-rampage-1-06,Inhuman Rampage,Cry for Eternity,no,no,no,y,
inhuman-rampage-1-07,Inhuman Rampage,The Flame of Youth,no,no,no,y,
inhuman-rampage-1-08,Inhuman Rampage,Trail of Broken Hearts,no,no,no,y,
inhuman-rampage-1-09,Inhuman Rampage,Lost Souls in Endless Time,yes,no,no,y,
ultra-beatdown-1-01,Ultra Beatdown,Heroes of Our Time,no,no,no,y,
ultra-beatdown-1-02,Ultra Beatdown,The Fire Still Burns,no,no,no,y,
ultra-beatdown-1-03,Ultra Beatdown,Reasons to Live,no,no,no,y,
ultra-beatdown-1-04,Ultra Beatdown,Heartbreak Armageddon,no,no,no,y,
ultra-beatdown-1-05,Ultra Beatdown,The Last Journey Home,no,no,no,y,
ultra-beatdown-1-06,Ultra Beatdown,A Flame for Freedom,no,no,no,y,
ultra-beatdown-1-07,Ultra Beatdown,Inside the Winter Storm,no,no,no,y,
ultra-beatdown-1-08,Ultra Beatdown,The Warrior Inside,no,no,no,y,
ultra-beatdown-1-09,Ultra Beatdown,Strike of the Ninja,yes,no,no,y,
ultra-beatdown-1-10,Ultra Beatdown,Scars of Yesterday,yes,no,no,y,
ultra-beatdown-1-11,Ultra Beatdown,E.P.M.,yes,no,no,y,
the-power-within-1-01,The Power Within,Holding On,no,no,no,y,
the-power-within-1-02,The Power Within,Fallen World,no,no,no,y,
the-power-within-1-03,The Power Within,Cry Thunder,no,no,no,y,
the-power-within-1-04,The Power Within,Give Me the Night,no,no,no,y,
the-power-within-1-05,The Power Within,Wings of Liberty,no,no,no,y,
the-power-within-1-06,The Power Within,Seasons,no,no,no,y,
the-power-within-1-07,The Power Within,Heart of the Storm,no,no,no,y,
the-power-within-1-08,The Power Within,Die by the Sword,no,no,no,y,
the-power-within-1-09,The Power Within,Last Man Stands,no,no,no,y,
the-power-within-1-10,The Power Within,Seasons (acoustic version),no,no,no,y,
the-power-within-1-11,The Power Within,Power of the Ninja Sword,yes,no,no,y,
the-power-within-1-12,The Power Within,Heart of the Storm (alternative chorus version),yes,no,no,y,
the-power-within-1-13,The Power Within,Avant la tempête (instrumental),yes,no,yes,y,
maximum-overload-1-01,Maximum Overload,The Game,no,no,no,y,
maximum-overload-1-02,Maximum Overload,Tomorrow's Kings,no,no,no,y,
maximum-overload-1-03,Maximum Overload,No More,no,no,no,y,
maximum-overload-1-04,Maximum Overload,Three Hammers,no,no,no,y,
maximum-overload-1-05,Maximum Overload,Symphony of the Night,no,no,no,y,
maximum-overload-1-06,Maximum Overload,The Sun is Dead,no,no,no,y,
maximum-overload-1-07,Maximum Overload,Defenders,no,no,no,y,
maximum-overload-1-08,Maximum Overload,Extraction Zone,no,no,no,y,
maximum-overload-1-09,Maximum Overload,City of Gold,no,no,no,y,
maximum-overload-1-10,Maximum Overload,Ring of Fire,no,yes,no,y,cover: Johnny Cash
maximum-overload-1-11,Maximum Overload,Power and Glory,yes,no,no,y,
maximum-overload-1-12,Maximum Overload,You're Not Alone,yes,no,no,y,
maximum-overload-1-13,Maximum Overload,Chemical Interference,yes,no,no,y,
maximum-overload-1-14,Maximum Overload,Summer's End,yes,no,no,y,
maximum-overload-1-15,Maximum Overload,Fight to be Free,yes,no,no,y,
maximum-overload-1-16,Maximum Overload,Galactic Astro Domination,yes,no,yes,y,
reaching-into-infinity-1-01,Reaching Into Infinity,Reaching Into Infinity,no,no,yes,y,
reaching-into-infinity-1-02,Reaching Into Infinity,Ashes of the Dawn,no,no,no,y,
reaching-into-infinity-1-03,Reaching Into Infinity,Judgement Day,no,no,no,y,
reaching-into-infinity-1-04,Reaching Into Infinity,Astral Empire,no,no,no,y,
reaching-into-infinity-1-05,Reaching Into Infinity,Curse of Darkness,no,no,no,y,
reaching-into-infinity-1-06,Reaching Into Infinity,Silence,no,no,no,y,
reaching-into-infinity-1-07,Reaching Into Infinity,Midnight Madness,no,no,no,y,
reaching-into-infinity-1-08,Reaching Into Infinity,WAR!,no,no,no,y,
reaching-into-infinity-1-09,Reaching Into Infinity,Land of Shattered Dreams,no,no,no,y,
reaching-into-infinity-1-10,Reaching Into Infinity,The Edge of the World,no,no,no,y,
reaching-into-infinity-1-11,Reaching Into Infinity,Our Final Stand,no,no,no,y,
reaching-into-infinity-1-12,Reaching Into Infinity,Hatred and Revenge,yes,no,no,y,
reaching-into-infinity-1-13,Reaching Into Infinity,Evil Dead,yes,yes,no,y,cover: Death
