album,album_year,release_group_mbid,release_mbid,title,date,country,status,format,discs,tracks,disambiguation
Valley of the Damned,2003,880c6868-1c27-32e3-9fea-2faac2d82a0e,04577802-36c5-49b3-8294-834d359800ce,Valley of the Damned,2003,GB,Official,CD,1,9,made in the UK by Universal M&L
Valley of the Damned,2003,880c6868-1c27-32e3-9fea-2faac2d82a0e,954ffd73-427f-494a-9e00-198bfff5293d,Valley of the Damned,2003,TH,Official,CD,1,9,
Valley of the Damned,2003,880c6868-1c27-32e3-9fea-2faac2d82a0e,c9e43b53-80ff-3e91-abf0-e321abc7cd7e,Valley of the Damned,2003-01-27,US,Official,CD,1,9,
Valley of the Damned,2003,880c6868-1c27-32e3-9fea-2faac2d82a0e,e65eb20b-4be1-406a-989d-02825c69b1a6,Valley of the Damned,2003-01-27,GB,Official,CD,1,9,
Valley of the Damned,2003,880c6868-1c27-32e3-9fea-2faac2d82a0e,6a58d2af-f11b-4991-b718-1d103a6541f2,Valley of the Damned,2003-05-17,JP,Official,CD,1,10,
Valley of the Damned,2003,880c6868-1c27-32e3-9fea-2faac2d82a0e,315d0135-bad3-4abb-9dd0-c1617663158a,Valley of the Damned,2009,XW,Official,Digital Media,1,10,2010 remastered edition
Valley of the Damned,2003,880c6868-1c27-32e3-9fea-2faac2d82a0e,bef5773e-9652-435c-9f3e-a1119d472813,Valley of the Damned,2010-01-20,JP,Official,CD+DVD,2,18,
Valley of the Damned,2003,880c6868-1c27-32e3-9fea-2faac2d82a0e,0935f040-68fc-4053-801b-f4606ef1d896,Valley of the Damned,2010-02-19,GB,Official,CD+DVD-Video,2,11,2010 remix & remaster
Sonic Firestorm,2004,bc210daa-b1cd-36d8-a3df-dd71d9a4dd7b,d5202c54-bdd8-33ac-9e7d-bcbd86a992de,Sonic Firestorm,2004,US,Official,CD,1,8,
Sonic Firestorm,2004,bc210daa-b1cd-36d8-a3df-dd71d9a4dd7b,9856f656-238d-4085-b669-dd788feae285,Sonic Firestorm,2004-04-19,GB,Official,CD,1,8,
Sonic Firestorm,2004,bc210daa-b1cd-36d8-a3df-dd71d9a4dd7b,9ad01748-2c99-41f2-b9ba-2b7ac179a149,Sonic Firestorm,2004-04-19,XE,Official,CD,1,8,
Sonic Firestorm,2004,bc210daa-b1cd-36d8-a3df-dd71d9a4dd7b,608d73a2-af4e-4cf5-adf6-7ff7213726ac,Sonic Firestorm,2004,AR,Official,Digital Media,1,8,
Sonic Firestorm,2004,bc210daa-b1cd-36d8-a3df-dd71d9a4dd7b,40520251-eb87-4b73-b053-69fae104922f,Sonic Firestorm,2004-03-24,JP,Official,CD,1,9,
Sonic Firestorm,2004,bc210daa-b1cd-36d8-a3df-dd71d9a4dd7b,0b02627a-7f8f-4ea9-8d07-1fe397cfc210,Sonic Firestorm,2009,XW,Official,Digital Media,1,9,2010 edition
Sonic Firestorm,2004,bc210daa-b1cd-36d8-a3df-dd71d9a4dd7b,fbe14ce0-397f-4072-9ca7-e54c35f844ae,Sonic Firestorm,2010,CA,Official,CD+DVD-R Video,2,12,
Sonic Firestorm,2004,bc210daa-b1cd-36d8-a3df-dd71d9a4dd7b,9f34075b-ed8f-4582-bc65-29c8cd0dd662,Sonic Firestorm,2010-02-23,DE,Official,CD+DVD,2,12,
Inhuman Rampage,2005,9f7d7652-cf16-3384-86a2-f14bc0f1a67b,baf6afa5-ebb9-4437-95f9-c7c6eb1a467f,Inhuman Rampage,2006,MX,Official,CD,1,8,
Inhuman Rampage,2005,9f7d7652-cf16-3384-86a2-f14bc0f1a67b,9ee03436-b259-340e-b32c-dd0ce64e05e0,Inhuman Rampage,2006-06-20,US,Official,CD,1,8,
Inhuman Rampage,2005,9f7d7652-cf16-3384-86a2-f14bc0f1a67b,88de9fea-5155-4e6b-bb6f-878b2e75c4fd,Inhuman Rampage,2006,US,Official,Enhanced CD,1,8,BMG Club edition
Inhuman Rampage,2005,9f7d7652-cf16-3384-86a2-f14bc0f1a67b,27a94f16-382c-4e2c-a0a1-a0b344d37f69,Inhuman Rampage,2006-01-06,XE,Official,Enhanced CD,1,8,
Inhuman Rampage,2005,9f7d7652-cf16-3384-86a2-f14bc0f1a67b,1b6a4121-4f60-4612-96b1-b969454cfc9b,Inhuman Rampage,2006-01-09,XW,Official,Digital Media,1,8,
