track_id,recording_mbid,album,album_mbid,release_mbid,release_year,disc_no,disc_format,track_no,track_number_printed,track_title,title_key,length_ms,is_bonus_track,is_cover,is_instrumental,verified,lyric_status,genius_song_id,genius_title,lyric_word_count,lyric_unique_words,lyric_line_count
valley-of-the-damned-1-01,f3686201-5ccb-476a-b005-fc2fb648dfce,Valley of the Damned,880c6868-1c27-32e3-9fea-2faac2d82a0e,c9e43b53-80ff-3e91-abf0-e321abc7cd7e,2003,1,CD,1,1,Invocation of Apocalyptic Evil,invocation of apocalyptic evil,13706,no,no,yes,y,no_lyrics,,,,,
valley-of-the-damned-1-02,7547f997-08c1-424e-a252-869324fc6555,Valley of the Damned,880c6868-1c27-32e3-9fea-2faac2d82a0e,c9e43b53-80ff-3e91-abf0-e321abc7cd7e,2003,1,CD,2,2,Valley of the Damned,valley of the damned,432373,no,no,no,y,ok,,Valley of the Damned,359,132,74
valley-of-the-damned-1-03,66f773d4-114c-47e5-a66c-711b1a565058,Valley of the Damned,880c6868-1c27-32e3-9fea-2faac2d82a0e,c9e43b53-80ff-3e91-abf0-e321abc7cd7e,2003,1,CD,3,3,Black Fire,black fire,347213,no,no,no,y,ok,,Black Fire,331,117,44
valley-of-the-damned-1-04,3fd7e5c4-e784-477b-9866-05f96c41cbaf,Valley of the Damned,880c6868-1c27-32e3-9fea-2faac2d82a0e,c9e43b53-80ff-3e91-abf0-e321abc7cd7e,2003,1,CD,4,4,Black Winter Night,black winter night,390960,no,no,no,y,ok,,Black Winter Night,423,129,62
valley-of-the-damned-1-05,c423b3dc-4093-486c-8594-8abb1e38e90a,Valley of the Damned,880c6868-1c27-32e3-9fea-2faac2d82a0e,c9e43b53-80ff-3e91-abf0-e321abc7cd7e,2003,1,CD,5,5,Starfire,starfire,353426,no,no,no,y,ok,,Starfire,463,148,58
valley-of-the-damned-1-06,78b6cfc9-e07f-4957-aa67-b2d6b2e5ce0c,Valley of the Damned,880c6868-1c27-32e3-9fea-2faac2d82a0e,c9e43b53-80ff-3e91-abf0-e321abc7cd7e,2003,1,CD,6,6,Disciples of Babylon,disciples of babylon,436586,no,no,no,y,ok,,Disciples of Babylon,282,84,52
valley-of-the-damned-1-07,9babf36e-0c75-49f2-8fbf-e8033e2ca0ee,Valley of the Damned,880c6868-1c27-32e3-9fea-2faac2d82a0e,c9e43b53-80ff-3e91-abf0-e321abc7cd7e,2003,1,CD,7,7,Revelations,revelations,412653,no,no,no,y,ok,,Revelations,385,136,74
valley-of-the-damned-1-08,24d69bb3-36ba-4407-a579-8cc306c29313,Valley of the Damned,880c6868-1c27-32e3-9fea-2faac2d82a0e,c9e43b53-80ff-3e91-abf0-e321abc7cd7e,2003,1,CD,8,8,Evening Star,evening star,399266,no,no,no,y,ok,,Evening Star,284,86,45
valley-of-the-damned-1-09,7646266a-2081-4567-9bec-e9a770529759,Valley of the Damned,880c6868-1c27-32e3-9fea-2faac2d82a0e,c9e43b53-80ff-3e91-abf0-e321abc7cd7e,2003,1,CD,9,9,Heart of a Dragon,heart of a dragon,322586,no,no,no,y,ok,,Heart of a Dragon,346,107,53
sonic-firestorm-1-01,9ca28dc5-cd5b-4aff-93e7-8aa912625599,Sonic Firestorm,bc210daa-b1cd-36d8-a3df-dd71d9a4dd7b,0b02627a-7f8f-4ea9-8d07-1fe397cfc210,2004,1,Digital Media,1,1,My Spirit Will Go On,my spirit will go on,474400,no,no,no,y,ok,,My Spirit Will Go On,455,126,63
sonic-firestorm-1-02,d2a471c9-a362-4237-b24b-4d0c7db4f6fa,Sonic Firestorm,bc210daa-b1cd-36d8-a3df-dd71d9a4dd7b,0b02627a-7f8f-4ea9-8d07-1fe397cfc210,2004,1,Digital Media,2,2,Fury of the Storm,fury of the storm,406826,no,no,no,y,ok,,Fury of the Storm,360,107,40
sonic-firestorm-1-03,b39eecbd-a74c-423a-9cab-57b1aabe8e88,Sonic Firestorm,bc210daa-b1cd-36d8-a3df-dd71d9a4dd7b,0b02627a-7f8f-4ea9-8d07-1fe397cfc210,2004,1,Digital Media,3,3,Fields of Despair,fields of despair,325133,no,no,no,y,ok,,Fields of Despair,278,107,35
sonic-firestorm-1-04,93fac4ce-82bc-40dc-980b-f39c3d3968d0,Sonic Firestorm,bc210daa-b1cd-36d8-a3df-dd71d9a4dd7b,0b02627a-7f8f-4ea9-8d07-1fe397cfc210,2004,1,Digital Media,4,4,Dawn Over a New World,dawn over a new world,312600,no,no,no,y,ok,,Dawn Over a New World,370,129,66
